año;título;descripción;localización;fecha inicio;fecha fin;duracion;tipo ayuda;vía canalización;odm;meta odm;tipo beneficiarios;numero beneficiarios;mujeres beneficiadas;resultado;región;área;renta;tema;importe comprometido;importe abonado;tipo organismo;organismo;agencia;número intervención;código interno
2007;APLICACIÓN Y EXIGIBILIDAD DE DERECHOS DE LOS PUEBLOS INDÍGENAS DEL PERÚ, DESDE UN ENFOQUE DE GÉNERO. ÉTICA E INTERCULTURALIDAD;MEJORAR LAS CONDICIONES DE VIDA DE LA POBLACIÓN INDÍGENA AMAZÓNICA DEL PERÚ A TRAVÉS DE LA PROMOCIÓN DE LOS DERECHOS HUMANOS, PROMOVIENDO UNA DEMOCRACIA Y CIUDADANÍA INCLUSIVAS;SATIPO, RIOJA Y MOYABAMBA, CORONEL PORTILLO - REGIONES DE JUNIN, SAN MARTÍN Y UCAYALI;39.083;Sin datos ese año;1;;Bilateral;Sin datos ese año;Sin datos ese año;ND;Sin datos ese año;Sin datos ese año;FAVORECIDA LA INCORPORACIÓN DEL CONVENIO DE LA OIT EN EL ORDENAMIENTO JURÍDICO NACIONAL DEL PERÚ MEDIANTE EL ANÁLISIS Y SEGUIMIENTO DE LA INCORPORACIÓN DE LOS INSTRUMENTOS LEGALES;PERÚ;AMESUR;PRMB;15162;210.261;210.261;Comunidades Autónomas;CCAA AND - Andalucía;CCAA AND AACI - Andalucía - Agencia Andaluza de Cooperación Internacional;07-BBB-02946;Sin datos ese año
2007;PROYECTO DE FORMACIÓN DE FUNCIONARIOS MARROQUÍES EN MATERIA DE FONDOS EUROPEOS ;PROYECTO DE FORMACIÓN DE FUNCIONARIOS MARROQUÍES EN MATERIA DE FONDOS EUROPEOS ;ND;39.083;Sin datos ese año;1;;Bilateral;Sin datos ese año;Sin datos ese año;ND;Sin datos ese año;Sin datos ese año;seminario sobre programación de fondos europeos;MARRUECOS;AFRNOR;PRMB;15140;305.960;305.960;Comunidades Autónomas;CCAA AND - Andalucía;CCAA AND AACI - Andalucía - Agencia Andaluza de Cooperación Internacional;07-BBB-02842;Sin datos ese año
2007;PROGRAMA DE FORTALECIMIENTO DE LA CONVIVENCIA Y DESARROLLO INTEGRAL PARA LA CIUDADANÍA DE SAN SALVADOR.;"FUNDAMENTADOS EN LAS TRES PRIORIDADES DE TRABAJO D ELA ADMINISTRACIÓN MUNICIPAL 2006-2009, QUE SON: 1) MEJORAR LA CALIDAD Y COBERTURA DE LOS SERVICIOS MUNICIPALES; 2) RECUPERAR Y REVITALIZAR LOS ESPACIOS PÚBLICOS DE SAN SALVADOR PARA TODOS SUS HABITANTES,";ND;39.083;Sin datos ese año;1;;Bilateral;Sin datos ese año;Sin datos ese año;ND;Sin datos ese año;Sin datos ese año;CONSTRUIDOS Y EQUIPADOS 3 CENTROS DE FORTALECIMIENTO DE LA CONVIVENCIA Y DESARROLLO INTEGRAL PARA LA CIUDADANÍA DE SAN SALVADOR EN LOS DISTRITOS 1, 4 Y 6 DEL MUNICIPIO DE SAN SALVADOR, EN DONDE SE PROCURA EL USO IGUALITARIO Y SU APROPIACIÓN COLECTIVA;EL SALVADOR;AMECEN;PRMB;15140;1.600.000;1.600.000;Comunidades Autónomas;CCAA AND - Andalucía;CCAA AND AACI - Andalucía - Agencia Andaluza de Cooperación Internacional;07-BBB-02845;Sin datos ese año
2007;APOYO AL FORTALECIMIENTO DEL PAPEL DE LAS ENTIDADES LOCALES EN EL PROCESO DE INTEGRACIÓN CENTROAMERICANA.;LA INTERVENCIÓN SE DIRIGE A IMPULSAR EL PROCESO DE INTEGRACIÓN POLÍTICA CENTROAMERICANA INCORPORANDO, DESDE LO LOCAL, NUEVAS TEMÁTICAS Y ACTORES DE LA AGENDA REGIONAL, FACILITANDO LA INCLUSIÓN ACTIVA DE LOS GOBIERNOS LOCALES DE LOS DIVERSOS TERRITORIOS EN;ND;39.083;Sin datos ese año;1;;Bilateral;Sin datos ese año;Sin datos ese año;ND;Sin datos ese año;Sin datos ese año;ESTABLECIDO UN NUEVO ESPACIO DE DIÁLOGO, SINERGIAS Y COOPERACIÓN ENTRE LOS PODERES LOCALES CENTROAMERICANOS A TRAVÉS DEL FORO DE AUTORIDADES LOCALES DE CENTRO AMÉRICA EN PRO DE UNA VISIÓN REGIONAL DEL DESARROLLO EN CUALQUIERA DE SUS FACETAS;EL SALVADOR;AMECEN;PRMB;15140;150.000;150.000;Comunidades Autónomas;CCAA AND - Andalucía;CCAA AND AACI - Andalucía - Agencia Andaluza de Cooperación Internacional;07-BBB-02849;Sin datos ese año
2007;FORTALECIMIENTO ORGANIZATIVO DEL CONSEJO HONDUREÑO DEL SECTOR SOCIAL DE LA ECONOMÍA COHDESSE;FORTALECIMIENTO ORGANIZATIVO DEL CONSEJO HONDUREÑO DEL SECTOR SOCIAL DE LA ECONOMÍA COHDESSE;ND;39.083;Sin datos ese año;1;;Bilateral;Sin datos ese año;Sin datos ese año;ND;Sin datos ese año;Sin datos ese año;APOYADO Y DESARROLLADO EL PROCESO DE FORTALECIMIENTO DE LAS INSTANCIAS REGIONALES (CODESSES REGIONALES) DEL COHDESSE;HONDURAS;AMECEN;PRMB;15140;57.000;57.000;Comunidades Autónomas;CCAA AND - Andalucía;CCAA AND AACI - Andalucía - Agencia Andaluza de Cooperación Internacional;07-BBB-02859;Sin datos ese año
2007;DESARROLLO DE PROGRAMAS DE FORMACIÓN SOBRE DEFINICIÓN DE ROL DE LOS COHDESSE REGIONALES COMO GESTORES DE DESARROLLO Y LIDERAZGO;EN ESTA PROPUESTA LOS LINEAMIENTOS CONCEPTUALES QUE LA ACOMPAÑAN CONSIDERAN QUE EL CONTEXTO DE DESARTICULACIÇON SOCIAL Y EL INCREMENTO CONSTANTE DE LA POBREZA ASÍ COMO LA MARGINALIDAD SON PRODUCTO DE LA INSUFICIENCIA DINÁMICA DEL MERCADO CAPITALISTA Y DE ;ND;39.083;Sin datos ese año;1;;Bilateral;Sin datos ese año;Sin datos ese año;MIEMBROS DE LAS ASOCIACIONES DEL CONSEJO HONDUREÑO NACIONAL, QUE OCUPAN PUESTOS DE RESPONSA. REGIONA;Sin datos ese año;Sin datos ese año;ESTIMULADA LA PARTICIPACIÓN DE LOS ACTORES NE FORMA ASOCIATIVA, EN BASE A VALORES DE COOPERACIÓN Y SOLIDARIDAD;HONDURAS;AMECEN;PRMB;15140;87.500;87.500;Comunidades Autónomas;CCAA AND - Andalucía;CCAA AND AACI - Andalucía - Agencia Andaluza de Cooperación Internacional;07-BBB-02860;Sin datos ese año
2007;FORMACIÓN SINDICAL PARA EL REFORZAMIENTO ORGANIZATIVO DE LA UNION GÉNÉRALE DES TRAVAILLEURS ALGÉRIENS (UGTA) ;FORMACIÓN SINDICAL PARA EL REFORZAMIENTO ORGANIZATIVO DE LA UNION GÉNÉRALE DES TRAVAILLEURS ALGÉRIENS (UGTA) ;ND;39.083;Sin datos ese año;1;;Bilateral;Sin datos ese año;Sin datos ese año;ND;Sin datos ese año;Sin datos ese año;ND;ARGELIA;AFRNOR;PRMB;16020;63.202;63.202;Comunidades Autónomas;CCAA AND - Andalucía;CCAA AND AACI - Andalucía - Agencia Andaluza de Cooperación Internacional;07-BBB-02867;Sin datos ese año
2007;MEJORA DE LA PARTICIPACIÓN DE 500 HOMBRES Y MUJERES INTEGRANTES DE ORGANIZACIONES Y GOBIERNOS LOCALES EN LA GESTIÓN, ADMINISTRACIÓN Y PLANIFICACIÓN DEL DESARROLLO DE 25 COMUNIDADES DE HEBRÓN, TULKAREM, RAMALLAH Y GAZA;EL PROYECTO PRETENDE INCREMENTAR LA PARTICIPACIÓN CIUDADANA EN EL DIAGNÓSTICO DE LOS PROBLEMAS DE SUS COMUNIDADES Y CONTRIBUIR A MEJORAR LA GESTIÓN DE LOS GOBIERNOS LOCALES. SE FORMARÁ A 500 INTEGRANTES DE ORGANIZACIONES COMUNITARIAS DE BASE PALESTINAS (O;HEBRÓN, TULKAREM, RAMALAH, GAZA;39.083;Sin datos ese año;1;;Bilateral;Sin datos ese año;Sin datos ese año;ND;Sin datos ese año;Sin datos ese año;AL 12º MES DE EJECUCIÓN DEL PROYECTO SE HABRÁ CAPACITADO A 500 INTEGRANTES DE LAS ORGANIZACIONES LOCALES PALESTINAS DE 25 COMUNIDADES PALESTINAS DE HEBRÓN, TULKAREM, RAMALLAH Y GAZA A TRAVÉS DE 5 CURSOS DE DESCENTRALIZACIÓN ADMINISTRATIVA, 4 CURSOS DE TÉ;PALESTINOS, TERRITORIOS;OMEDIO;PRMB;15140;299.336;299.336;Comunidades Autónomas;CCAA AND - Andalucía;CCAA AND AACI - Andalucía - Agencia Andaluza de Cooperación Internacional;07-BBB-02918;Sin datos ese año
2007;MEJORA DE LAS OPORTUNIDADES LOCALES DE AUTOEMPLEO E INSERCIÓN LABORAL, E INCREMENTO DE LA CAPACIDAD PRODUCTIVA Y EMPRESARIAL DE 300 FAMILIAS DE LOS BARRIOS DE BELLA FLOR Y SAN JOSÉ DE LOS SAUCES, CIUDAD DE BOLÍVAR, BOGOTÁ;"EL PROYECTO FOMENTA LA REACTIVACIÓN DE LOS TEJIDOS ECONÓMICOS Y PRODUCTIVO EN LOS BARRIOS DE BELLA FLOR Y SAN JOSÉ DE LOS SAUCES, SE ARTICULA A TRAVÉS DE LOS SIGUIENTES COMPONENTES: CAPACITACIÓN PARA EL EMPLEO Y EL AUTOEMPLEO; PRODUCTIVO Y EMPRESARIAL; IN";CUNDINAMARCA - CIUDAD BOLÍVAR;39.083;Sin datos ese año;1;;Bilateral;Sin datos ese año;Sin datos ese año;ND;Sin datos ese año;Sin datos ese año;FORTALECIDA LA RED DE PRESTACIÓN DE SERVICIOS DE ATENCIÓN SOCIAL, CON LA CREACIÓN DE UNA ESCUELA COMUNITARIA EN PRÁCTICA QUE CONTRIBUYE A LA FORMACIÓN EN SERVICIOS Y HABILIDADES SOCIALES, COMO PUERTA DE ACCESO DE AMBAS COMUNIDADES AL EMPLEO FORMAL, A LA A;COLOMBIA;AMESUR;PRMB;16020;296.323;296.323;Comunidades Autónomas;CCAA AND - Andalucía;CCAA AND AACI - Andalucía - Agencia Andaluza de Cooperación Internacional;07-BBB-02932;Sin datos ese año
2007;MEJORA DE LA GESTIÓN ENERGÉTICA EN CENTROS PÚBLICOS EN EL NORTE DE MARRUECOS ;MEJORA DE LA GESTIÓN ENERGÉTICA EN CENTROS PÚBLICOS EN EL NORTE DE MARRUECOS ;TAZA-ALHUCEMAS Y TÁNGER-TETUÁN;39.083;Sin datos ese año;1;;Bilateral;Sin datos ese año;Sin datos ese año;ND;Sin datos ese año;Sin datos ese año;3 centros de carácter social (2 hospitales, 1 Matadero) equipados con sistemas solares térmicos;MARRUECOS;AFRNOR;PRMB;23010;280.264;280.264;Comunidades Autónomas;CCAA AND - Andalucía;CCAA AND AACI - Andalucía - Agencia Andaluza de Cooperación Internacional;07-BBB-02834;Sin datos ese año
2007;FORTALECIMIENTO DE LA AGRICULTURA URBANA EN LOS MUNICIPIOS DE JAGÜEY GRANDE, PEDRO BETANCOURT Y CIÉNAGA DE ZAPATA.;FORTALECIMIENTO DE LA AGRICULTURA URBANA EN LOS MUNICIPIOS DE JAGÜEY GRANDE, PEDRO BETANCOURT Y CIÉNAGA DE ZAPATA.;ND;39.083;Sin datos ese año;1;;Bilateral;Sin datos ese año;Sin datos ese año;ND;Sin datos ese año;Sin datos ese año;ND;CUBA;AMECEN;PRMB;31161;867.095;867.095;Comunidades Autónomas;CCAA AND - Andalucía;CCAA AND AACI - Andalucía - Agencia Andaluza de Cooperación Internacional;07-BBB-02875;Sin datos ese año
2007;DESARROLLO DE LA GANADERÍA CAPRINA Y MEJORA DE LAS CONDICIONES SOCIALES DE FAMILIAS GANADERAS;EL PROYECTO SE PLANTEA COMO UN REFUERZO AL PROCESO DE FORTALECIMIENTO Y REVALORIZACIÓN DE LOS RECUROS LOCALES EN EL VALLE DEL RÍO OUED LAOU. SE PRETENDE DESARROLLAR Y MEJORAR LAS EXPECTATIVAS SOCIOECONÓMICAS DEL GANADO CAPRINO EN LA ZONA. SE PRETENDE PALI;CHEFCHAOUEN Y TETOUAN, DOUARES DEL VALLE DEL RÍO OUED LAOU;39.083;Sin datos ese año;1;;Bilateral;Sin datos ese año;Sin datos ese año;ND;Sin datos ese año;Sin datos ese año;SE HAN IMPLEMENTADO TODOS LOS MEDIOS TÉCNICOS NECESARIOS PARA IMPLEMENTAR LA MEJORA Y EL CONTROL DEL GANADO CAPRINO;MARRUECOS;AFRNOR;PRMB;31163;236.025;236.025;Comunidades Autónomas;CCAA AND - Andalucía;CCAA AND AACI - Andalucía - Agencia Andaluza de Cooperación Internacional;07-BBB-02909;Sin datos ese año
2007;APOYO A LA RECUPERACIÓN PRODUCTIVA INTEGRAL DE LA ACTIVIDAD GANADERA DE TRE COOPERATIVAS EN LA PROVINCIA DE MATANZAS;EL PROYECTO TRABAJARÁ CON TRES UNIDADES DE PRODUCCIÓN COOPERATIVA (UBPC) QUE ES UNA DE LAS FORMAS DE PRODUCCIÓN AGROPECUARIA EXISTENTE EN CUBA. LAS TRES UNIDADES SON LA UBPC CUMBRE ALTA, LA UBPC RAMÓN PAZ Y LA UBPC FE DEL VALLE. SE PRETENDE GARANTIZAR UN ;MATANZAS, MARTÍ Y LOS ARABOS;39.083;Sin datos ese año;1;;Bilateral;Sin datos ese año;Sin datos ese año;ND;Sin datos ese año;Sin datos ese año;SE HABRÁ DISEÑADO UN PROCESO INTEGRAL DE MANEJO Y PRODUCCIÓN DE LOS DISTINTOS REBAÑOS, IMPLEMENTANDO UN PROCESO DE PLANIFICACIÓN ESTRATÉGICA Y ESTBLECIDO UN SISTEMA DE MONITOREO DE IMPACTO;CUBA;AMECEN;PRMB;31163;248.809;248.809;Comunidades Autónomas;CCAA AND - Andalucía;CCAA AND AACI - Andalucía - Agencia Andaluza de Cooperación Internacional;07-BBB-02913;Sin datos ese año
2007;AUMENTO Y MEJORA DE LA CAPACIDAD SOCIO-PRODUCTIVA Y ORGANIZATIVA DE LA UNIÓN DE MACHAVA, EN EL BARRIO DE MACHAVA DE LA CIUDAD DE MAPUTO;LA INTERVENCIÓN DE DESARROLLO PROPUESTA PRETENDE INCIDIR EN EL AUMENTO DE LA CAPACIDAD PRODUCTIVA DE LAS COOPERATIVAS AGRÍCOLAS DE MUJERES. UN SISTEMA DE BOMBEO PARA REGADÍO Y CONSTRUCCIÓN DE UN CERCADO DE PROTECCIÓN QUE MINIMICE LAS SIGNIFICATIVAS PÉRDID;MAPUTO, DISTRITO: MACHAVA;39.083;Sin datos ese año;1;;Bilateral;Sin datos ese año;Sin datos ese año;ND;Sin datos ese año;Sin datos ese año;"LAS COOPERATIVAS AGROPECUARIAS ""16 DE JUNHO 1"""", """"16 DE JUNHO 2"""", """" MADJEDJE 1"""", """"MADJEDJE 2"""", """"MADJEDJE 3"""", """"1º DE MAIO"""", """"OPERAçAO PRODUçAO"""" Y """"3 DE VEVEREIRO"""" CUENTAN CON UN SISTEMA DE RIEGO EN FUNCIONAMIENTO PARA EL DESARROLLO DE SU ACTIVIDAD AGRÍCOLA""";MOZAMBIQUE;AFRSUB;PMA;31161;299.983;299.983;Comunidades Autónomas;CCAA AND - Andalucía;CCAA AND AACI - Andalucía - Agencia Andaluza de Cooperación Internacional;07-BBB-02915;Sin datos ese año
2007;CONTRIBUCIÓN AL LOGRO DE LA SOBERANÍA ALIMENTARIA POR PARTE DE LA POBLACIÓN CAMPESINA DEL DISTRITO DE MARRACUENE EN LA PROVINCIA DE MAPUTO;LA PRESENTE INTERVENCIÓN PRETENDE MEJORAR LAS CONDICIONES DE VIDA DE 4.224 FAMILIAS CAMPESINAS DEL DISTRITO DE MARRACUENE QUE ESTÁN ORGANIZADAS EN 31 ASOCIACIONES Y 7 COOPERATIVAS FORMANDO LA UCAM (UNIAO DE COOPERATIVAS AGRÍCOLAS DE MARRACUENE. LAS LÍNEAS;MAPUTO-DISTRITO DE MARRACUENE;39.083;Sin datos ese año;1;;Bilateral;Sin datos ese año;Sin datos ese año;ND;Sin datos ese año;Sin datos ese año;MEJORADA Y AUMENTADA LA CAPACIDAD PRODUCTUVA DE 38 ASOCIACIONES Y COOPERATIVAS DE MIEMBROS DE LA UCAM Y DE SU SEDE EN MARRACUENE;MOZAMBIQUE;AFRSUB;PMA;31161;233.677;233.677;Comunidades Autónomas;CCAA AND - Andalucía;CCAA AND AACI - Andalucía - Agencia Andaluza de Cooperación Internacional;07-BBB-02916;Sin datos ese año
2007;MEJORA DE LAS CONDICIONES PARA ASEGURAR LA SOBERANÍA ALIMENTARIA EN EL DEPARTAMENTO DE MATAGALPA;"CON EL PROYECTO SE PRETENDE MEJORAR LAS CONDICIONES PARA ASEGURAR LA SOBERANÍA ALIMENTARIA EN EL DEPARTAMENTO DE MATAGALPA, A TRAVÉS DE LA EDUCACIÓN EN INCIDENCIA POLÍTICA DE LÍDERES CAMPESINOS/AS Y LA IMPLEMENTACIÓN DEL ""PROGRAMA CAMPESINO A CAMPESINO"""" E""";MATAGALPA;39.083;Sin datos ese año;1;;Bilateral;Sin datos ese año;Sin datos ese año;ND;Sin datos ese año;Sin datos ese año;FORMADOS Y CAPACITADOS 180 LÍDERES CAMPESINOS/AS DE LA UNAG EN LAS POLÍTICAS PÚBLICAS MUNICIPALES Y NACIONALES EN EL DEPARTAMENTO DE MATAGALPA;NICARAGUA;AMECEN;PRB;31161;252.641;252.641;Comunidades Autónomas;CCAA AND - Andalucía;CCAA AND AACI - Andalucía - Agencia Andaluza de Cooperación Internacional;07-BBB-02917;Sin datos ese año
